Date,Order Count,Total Revenue,Average Order Value
2025-07-01,2,139.97,69.98
2025-07-02,2,59.98,29.99
2025-07-03,2,175.98,87.99
2025-07-04,2,279.98,139.99
2025-07-05,2,97.96,48.98
2025-07-06,2,89.97,44.98
2025-07-07,2,55.97,27.98
2025-07-08,2,189.98,94.99
2025-07-09,2,379.98,189.99
2025-07-10,2,84.98,42.49
2025-07-11,2,169.95,84.97
2025-07-12,2,134.98,67.49
2025-07-13,2,339.98,169.99
2025-07-14,2,119.97,59.98
2025-07-15,3,294.96,98.32
2025-07-16,3,169.97,56.66
2025-07-17,3,544.97,181.66
2025-07-18,3,439.97,146.66
2025-07-19,3,104.96,34.99
2025-07-20,3,519.97,173.32
2025-07-21,3,199.97,66.66
2025-07-22,3,349.97,116.66
2025-07-23,3,129.91,43.30
2025-07-24,3,189.96,63.32
2025-07-25,3,143.97,47.99
2025-07-26,3,899.97,299.99
2025-07-27,3,77.97,25.99
2025-07-28,3,949.97,316.66
2025-07-29,3,262.96,87.65
2025-07-30,3,829.96,276.65
2025-07-31,3,169.96,56.65
2025-08-01,5,1689.95,337.99
2025-08-02,4,299.94,74.98
2025-08-03,4,869.96,217.49
2025-08-04,4,504.91,126.23
2025-08-05,4,624.96,156.24
2025-08-06,4,255.93,63.98
2025-08-07,4,1059.95,264.99
2025-08-08,4,162.95,40.74
2025-08-09,4,289.96,72.49
2025-08-10,4,317.95,79.49
2025-08-11,4,739.96,184.99
2025-08-12,4,879.95,219.99
2025-08-13,4,404.95,101.24
2025-08-14,4,469.96,117.49
2025-08-15,4,349.96,87.49
2025-08-16,4,211.96,52.99
2025-08-17,4,354.96,88.74
2025-08-18,4,164.95,41.24
2025-08-19,4,599.96,149.99
2025-08-20,4,214.94,53.73
2025-08-21,4,214.96,53.74
2025-08-22,4,352.91,88.23
2025-08-23,4,249.96,62.49
2025-08-24,4,604.94,151.24
2025-08-25,4,379.95,94.99
2025-08-26,4,160.96,40.24
2025-08-27,4,364.96,91.24
2025-08-28,4,594.96,148.74
2025-08-29,4,354.96,88.74
2025-08-30,4,217.96,54.49
